Title, Genre, Year, Ratings, BoxOffice, Poster, Awards, Actors
Rosemary's Baby,Drama/Horror,1968,99%,N/A,https://m.media-amazon.com/images/M/MV5BMjE3NzE4NzkyNl5BMl5BanBnXkFtZTgwNTYyODgwNzE@._V1_SX300.jpg,Won 1 Oscar. Another 9 wins & 12 nominations.,Mia Farrow. John Cassavetes. Ruth Gordon. Sidney Blackmer
Finding Nemo,Animation/Adventure/Comedy/Family/Fantasy,2003,99%,$380 529 370,https://m.media-amazon.com/images/M/MV5BZjMxYzBiNjUtZDliNC00MDAyLTg3N2QtOWNjNmNhZGQzNDg5XkEyXkFqcGdeQXVyNjE2MjQwNjc@._V1_SX300.jpg,Won 1 Oscar. Another 48 wins & 61 nominations.,Albert Brooks. Ellen DeGeneres. Alexander Gould. Willem Dafoe
L.A. Confidential,Crime/Drama/Mystery/Thriller,1997,99%,N/A,https://m.media-amazon.com/images/M/MV5BMDQ2YzEyZGItYWRhOS00MjBmLTkzMDUtMTdjYzkyMmQxZTJlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Won 2 Oscars. Another 85 wins & 82 nominations.,Kevin Spacey. Russell Crowe. Guy Pearce. James Cromwell
Aliens,Action/Adventure/Sci-Fi/Thriller,1986,99%,N/A,https://m.media-amazon.com/images/M/MV5BZGU2OGY5ZTYtMWNhYy00NjZiLWI0NjUtZmNhY2JhNDRmODU3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Won 2 Oscars. Another 18 wins & 22 nominations.,Sigourney Weaver. Carrie Henn. Michael Biehn. Paul Reiser
The Wizard of Oz,Adventure/Family/Fantasy/Musical,1939,98%,$3 840 702,https://m.media-amazon.com/images/M/MV5BNjUyMTc4MDExMV5BMl5BanBnXkFtZTgwNDg0NDIwMjE@._V1_SX300.jpg,Won 2 Oscars. Another 7 wins & 14 nominations.,Judy Garland. Frank Morgan. Ray Bolger. Bert Lahr
Moonlight,Drama,2016,98%,$27 850 910,https://m.media-amazon.com/images/M/MV5BNzQxNTIyODAxMV5BMl5BanBnXkFtZTgwNzQyMDA3OTE@._V1_SX300.jpg,Won 3 Oscars. Another 220 wins & 270 nominations.,Mahershala Ali. Shariff Earp. Duan Sanderson
Inside Out,Animation/Adventure/Comedy/Drama/Family/Fantasy,2015,98%,$264 317 903,https://m.media-amazon.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_SX300.jpg,Won 1 Oscar. Another 93 wins & 112 nominations.,Amy Poehler. Richard Kind. Bill Hader
E.T. the Extra-Terrestrial,Family/Sci-Fi,1982,98%,N/A,https://m.media-amazon.com/images/M/MV5BMTQ2ODFlMDAtNzdhOC00ZDYzLWE3YTMtNDU4ZGFmZmJmYTczXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Won 4 Oscars. Another 47 wins & 34 nominations.,Dee Wallace. Henry Thomas. Peter Coyote. Robert MacNaughton
It Happened One Night,Comedy/Romance,1934,98%,N/A,https://m.media-amazon.com/images/M/MV5BZmViYmM5OTYtNGQ4Ny00YjQyLThiNjEtYTE4MGZhZTNmZjcyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Won 5 Oscars. Another 5 wins & 2 nominations.,Clark Gable. Claudette Colbert. Walter Connolly. Roscoe Karns
The Godfather,Crime/Drama,1972,98%,N/A,https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Won 3 Oscars. Another 24 wins & 28 nominations.,Marlon Brando. Al Pacino. James Caan. Richard S. Castellano
The Big Sick,Comedy/Drama/Romance,2017,98%,$42 824 653,https://m.media-amazon.com/images/M/MV5BZWM4YzZjOTEtZmU5ZS00ZTRkLWFiNjAtZTEwNzIzMDM5MjdmXkEyXkFqcGdeQXVyNDg2MjUxNjM@._V1_SX300.jpg,Nominated for 1 Oscar. Another 16 wins & 84 nominations.,Kumail Nanjiani. Zoe Kazan. Holly Hunter. Ray Romano
A Hard Day's Night,Comedy/Music/Musical,1964,98%,N/A,https://m.media-amazon.com/images/M/MV5BZjQyMGUwNzAtNTc2MC00Y2FjLThlM2ItZGRjNzM0OWVmZGYyXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Nominated for 2 Oscars. Another 2 wins & 5 nominations.,The Beatles. John Lennon. Paul McCartney. George Harrison
Sunset Boulevard,Drama/Film-Noir,1950,98%,N/A,https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_SX300.jpg,Won 3 Oscars. Another 15 wins & 18 nominations.,William Holden. Gloria Swanson. Erich von Stroheim. Nancy Olson
Taxi Driver,Crime/Drama,1976,98%,N/A,https://m.media-amazon.com/images/M/MV5BM2M1MmVhNDgtNmI0YS00ZDNmLTkyNjctNTJiYTQ2N2NmYzc2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Nominated for 4 Oscars. Another 21 wins & 15 nominations.,Diahnne Abbott. Frank Adu. Victor Argo. Gino Ardito
Up,Animation/Adventure/Comedy/Family,2009,98%,$292 979 556,https://m.media-amazon.com/images/M/MV5BMTk3NDE2NzI4NF5BMl5BanBnXkFtZTgwNzE1MzEyMTE@._V1_SX300.jpg,Won 2 Oscars. Another 74 wins & 81 nominations.,Christopher Plummer. Jordan Nagai. Bob Peterson
The Babadook,Drama/Horror,2014,98%,N/A,https://m.media-amazon.com/images/M/MV5BMTk0NzMzODc2NF5BMl5BanBnXkFtZTgwOTYzNTM1MzE@._V1_SX300.jpg,55 wins & 61 nominations.,Essie Davis. Noah Wiseman. Hayley McElhinney. Daniel Henshall
The Night of the Hunter,Crime/Drama/Film-Noir/Thriller,1955,98%,N/A,https://m.media-amazon.com/images/M/MV5BYTNjN2M2MzYtZGEwMi00Mzc5LWEwYTMtODM1ZmRiZjFiNTU0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,2 wins.,Robert Mitchum. Shelley Winters. Lillian Gish. James Gleason
A Streetcar Named Desire,Drama,1951,98%,N/A,https://m.media-amazon.com/images/M/MV5BNzk2M2Y3MzYtNGMzMi00Y2FjLTkwODQtNmExYWU3ZWY3NzExXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg,Won 4 Oscars. Another 13 wins & 15 nominations.,Vivien Leigh. Marlon Brando. Kim Hunter. Karl Malden
Lawrence of Arabia,Adventure/Biography/Drama/History/War,1962,98%,N/A,https://m.media-amazon.com/images/M/MV5BYWY5ZjhjNGYtZmI2Ny00ODM0LWFkNzgtZmI1YzA2N2MxMzA0XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,Won 7 Oscars. Another 23 wins & 14 nominations.,Peter O'Toole. Alec Guinness. Anthony Quinn. Jack Hawkins
The Wrestler,Drama/Sport,2008,98%,$26 136 413,https://m.media-amazon.com/images/M/MV5BMTc5MjYyOTg4MF5BMl5BanBnXkFtZTcwNDc2MzQwMg@@._V1_SX300.jpg,Nominated for 2 Oscars. Another 57 wins & 86 nominations.,Mickey Rourke. Marisa Tomei. Evan Rachel Wood. Mark Margolis
On the Waterfront,Crime/Drama/Thriller,1954,98%,N/A,https://m.media-amazon.com/images/M/MV5BY2I0MWFiZDMtNWQyYy00Njk5LTk3MDktZjZjNTNmZmVkYjkxXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Won 8 Oscars. Another 21 wins & 9 nominations.,Marlon Brando. Karl Malden. Lee J. Cobb. Rod Steiger
I Am Not Your Negro,Documentary,2016,98%,$7 120 626,https://m.media-amazon.com/images/M/MV5BMjEyNzIzMTk3Ml5BMl5BanBnXkFtZTgwNDE1Nzc1MDI@._V1_SX300.jpg,Nominated for 1 Oscar. Another 25 wins & 45 nominations.,Samuel L. Jackson. James Baldwin. Martin Luther King. Malcolm X
Roman Holiday,Comedy/Romance,1953,98%,N/A,https://m.media-amazon.com/images/M/MV5BMTE2MDM4MTMtZmNkZC00Y2QyLWE0YjUtMTAxZGJmODMxMDM0XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Won 3 Oscars. Another 7 wins & 15 nominations.,Gregory Peck. Audrey Hepburn. Eddie Albert. Hartley Power
The Lady Vanishes,Mystery/Thriller,1938,98%,N/A,https://m.media-amazon.com/images/M/MV5BNjk3YzFjYTktOGY0ZS00Y2EwLTk2NTctYTI1Nzc2OWNiN2I4XkEyXkFqcGdeQXVyNzM0MTUwNTY@._V1_SX300.jpg,1 win & 1 nomination.,Margaret Lockwood. Michael Redgrave. Paul Lukas
Mad Max: Fury Road,Action/Adventure/Sci-Fi/Thriller,2015,97%,$129 483 877,https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Won 6 Oscars. Another 232 wins & 219 nominations.,Tom Hardy. Charlize Theron. Nicholas Hoult. Hugh Keays-Byrne
Spotlight,Crime/Drama/History,2015,97%,N/A,https://m.media-amazon.com/images/M/MV5BMjIyOTM5OTIzNV5BMl5BanBnXkFtZTgwMDkzODE2NjE@._V1_SX300.jpg,Won 2 Oscars. Another 119 wins & 138 nominations.,Mark Ruffalo. Michael Keaton. Rachel McAdams. Liev Schreiber
Casablanca,Drama/Romance/War,1942,97%,N/A,https://m.media-amazon.com/images/M/MV5BY2IzZGY2YmEtYzljNS00NTM5LTgwMzUtMzM1NjQ4NGI0OTk0XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,Won 3 Oscars. Another 5 wins & 9 nominations.,Humphrey Bogart. Ingrid Bergman. Paul Henreid. Claude Rains
Psycho,Horror/Mystery/Thriller,1960,97%,N/A,https://m.media-amazon.com/images/M/MV5BNTQwNDM1YzItNDAxZC00NWY2LTk0M2UtNDIwNWI5OGUyNWUxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Nominated for 4 Oscars. Another 5 wins & 9 nominations.,Anthony Perkins. Vera Miles. John Gavin. Janet Leigh
Boyhood,Drama,2014,97%,$18 859 617,https://m.media-amazon.com/images/M/MV5BMTYzNDc2MDc0N15BMl5BanBnXkFtZTgwOTcwMDQ5MTE@._V1_SX300.jpg,Won 1 Oscar. Another 171 wins & 209 nominations.,Ellar Coltrane. Patricia Arquette. Elijah Smith. Lorelei Linklater
Alien,Horror/Sci-Fi,1979,97%,N/A,https://m.media-amazon.com/images/M/MV5BMmQ2MmU3NzktZjAxOC00ZDZhLTk4YzEtMDMyMzcxY2IwMDAyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Won 1 Oscar. Another 16 wins & 19 nominations.,Tom Skerritt. Sigourney Weaver. Veronica Cartwright. Harry Dean Stanton
Zootopia,Animation/Adventure/Comedy/Crime/Family/Mystery,2016,97%,$341 264 012,https://m.media-amazon.com/images/M/MV5BOTMyMjEyNzIzMV5BMl5BanBnXkFtZTgwNzIyNjU0NzE@._V1_SX300.jpg,Won 1 Oscar. Another 45 wins & 65 nominations.,Ginnifer Goodwin. Jason Bateman. Idris Elba. Jenny Slate
Hell or High Water,Action/Crime/Drama/Thriller/Western,2016,97%,$26 973 524,https://m.media-amazon.com/images/M/MV5BMTg4NDA1OTA5NF5BMl5BanBnXkFtZTgwMDQ2MDM5ODE@._V1_SX300.jpg,Nominated for 4 Oscars. Another 42 wins & 157 nominations.,Dale Dickey. Ben Foster. Chris Pine. William Sterchi
Brooklyn,Drama/Romance,2015,97%,$30 459 009,https://m.media-amazon.com/images/M/MV5BMzE4MDk5NzEyOV5BMl5BanBnXkFtZTgwNDM4NDA3NjE@._V1_SX300.jpg,Nominated for 3 Oscars. Another 37 wins & 152 nominations.,Saoirse Ronan. Brid Brennan. Maeve McGrath
The Good， the Bad and the Ugly,Western,1966,97%,N/A,https://m.media-amazon.com/images/M/MV5BOTQ5NDI3MTI4MF5BMl5BanBnXkFtZTgwNDQ4ODE5MDE@._V1_SX300.jpg,1 win & 3 nominations.,Eli Wallach. Clint Eastwood. Lee Van Cleef. Aldo Giuffrè
Jaws,Adventure/Drama/Thriller,1975,97%,N/A,https://m.media-amazon.com/images/M/MV5BMmVmODY1MzEtYTMwZC00MzNhLWFkNDMtZjAwM2EwODUxZTA5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Won 3 Oscars. Another 11 wins & 18 nominations.,Roy Scheider. Robert Shaw. Richard Dreyfuss. Lorraine Gary
It Follows,Horror/Mystery,2014,97%,$10 705 259,https://m.media-amazon.com/images/M/MV5BMmU0MjBlYzYtZWY0MC00MjliLWI3ZmUtMzhlZDVjMWVmYWY4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,24 wins & 41 nominations.,Bailey Spry. Carollette Phillips. Loren Bass. Keir Gilchrist
The Hurt Locker,Drama/Thriller/War,2008,97%,$15 700 000,https://m.media-amazon.com/images/M/MV5BYWYxZjU2MmQtMmMzYi00ZWUwLTg2ZWQtMDExZTVlYjM3ZWM1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Won 6 Oscars. Another 117 wins & 126 nominations.,Jeremy Renner. Anthony Mackie. Brian Geraghty. Guy Pearce
Argo,Biography/Drama/Thriller,2012,96%,$136 019 448,https://m.media-amazon.com/images/M/MV5BNzljNjY3MDYtYzc0Ni00YjU0LWIyNDUtNTE0ZDRiMGExMjZlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,Won 3 Oscars. Another 94 wins & 152 nominations.,Ben Affleck. Bryan Cranston. Alan Arkin. John Goodman
Manchester by the Sea,Drama,2016,96%,$47 695 120,https://m.media-amazon.com/images/M/MV5BMTYxMjk0NDg4Ml5BMl5BanBnXkFtZTgwODcyNjA5OTE@._V1_SX300.jpg,Won 2 Oscars. Another 117 wins & 243 nominations.,Casey Affleck. Kyle Chandler. Richard Donelly
Touch of Evil,Crime/Drama/Film-Noir,1958,96%,N/A,https://m.media-amazon.com/images/M/MV5BOTA1MjA3M2EtMmJjZS00OWViLTkwMTEtM2E5ZDk0NTAyNGJiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,6 wins & 1 nomination.,Charlton Heston. Janet Leigh. Orson Welles. Joseph Calleia
Vertigo,Mystery/Romance/Thriller,1958,96%,N/A,https://m.media-amazon.com/images/M/MV5BYTE4ODEwZDUtNDFjOC00NjAxLWEzYTQtYTI1NGVmZmFlNjdiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Nominated for 2 Oscars. Another 8 wins & 4 nominations.,James Stewart. Kim Novak. Barbara Bel Geddes. Tom Helmore
Harry Potter and the Deathly Hallows: Part 2,Adventure/Drama/Fantasy/Mystery,2011,96%,$381 000 185,https://m.media-amazon.com/images/M/MV5BMjIyZGU4YzUtNDkzYi00ZDRhLTljYzctYTMxMDQ4M2E0Y2YxXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Nominated for 3 Oscars. Another 45 wins & 91 nominations.,Ralph Fiennes. Michael Gambon. Alan Rickman. Daniel Radcliffe
High Noon,Action/Drama/Thriller/Western,1952,96%,N/A,https://m.media-amazon.com/images/M/MV5BOWIzZGUxZmItOThkMS00Y2QxLTg0MTYtMDdhMjRlNTNlYTI3L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,Won 4 Oscars. Another 13 wins & 10 nominations.,Gary Cooper. Thomas Mitchell. Lloyd Bridges. Katy Jurado
Gravity,Drama/Sci-Fi/Thriller,2013,95%,$274 084 951,https://m.media-amazon.com/images/M/MV5BNjE5MzYwMzYxMF5BMl5BanBnXkFtZTcwOTk4MTk0OQ@@._V1_SX300.jpg,Won 7 Oscars. Another 232 wins & 175 nominations.,Sandra Bullock. George Clooney. Ed Harris. Orto Ignatiussen
Snow White and the Seven Dwarfs,Animation/Family/Fantasy/Musical/Romance,1937,95/100,N/A,https://m.media-amazon.com/images/M/MV5BMTQwMzE2Mzc4M15BMl5BanBnXkFtZTcwMTE4NTc1Nw@@._V1_SX300.jpg,Nominated for 1 Oscar. Another 11 wins & 5 nominations.,Roy Atwell. Stuart Buchanan. Adriana Caselotti. Eddie Collins
12 Years a Slave,Biography/Drama/History,2013,95%,$50 628 650,https://m.media-amazon.com/images/M/MV5BZjFkOGNjZjAtMzZjNS00ZjI2LTkwNjEtOWQ3NzQzOTBlMDA5XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,Won 3 Oscars. Another 235 wins & 326 nominations.,Chiwetel Ejiofor. Dwight Henry. Dickie Gravois. Bryan Batt
