name,birthday,profile,gender,movie_attended
James Caan,1940-03-26,/lDUG4hn0H4vzmSbmLHZcVrAgWF1.jpg,male,The Godfather. The Godfather: Part II. Cloudy with a Chance of Meatballs. Good Enough
Richard S. Castellano,1933-09-04,/1vr75BdHWret81vuSJ3ugiCBkxw.jpg,male,The Godfather. Lovers and Other Strangers
Gene Kelly,1912-08-23,/xbQZidMyhviuLmI1h8cJoJ7F1LV.jpg,male,Singin' in the Rain. An American in Paris. The Young Girls of Rochefort. Anaconda
Donald O'Connor,1925-08-28,/sV7Dx16wcajPsxJItmW5dX4axoW.jpg,male,Singin' in the Rain. Toys
Debbie Reynolds,1932-04-01,/z5naigs3CDthHEX7qrfHnAsAEYO.jpg,female,Fear and Loathing in Las Vegas. Singin' in the Rain
Jean Hagen,1923-08-03,/uCuVvXXE392OWx0xptr9tnqoM0s.jpg,female,Singin' in the Rain. The Asphalt Jungle. Adam's Rib
Kumail Nanjiani,1978-02-21,/9EyrK1Cv7ey1h1GgmsVAOn45w6G.jpg,male,Central Intelligence. Sex Tape. Mike and Dave Need Wedding Dates
Zoe Kazan,1983-09-09,/xvSkyaLIRYDzabDUG2HXUYAd4A5.jpg,female,Revolutionary Road. Fracture. The Big Sick
Holly Hunter,1958-03-20,/2l33LH3IrDsz1p8FMp1tVYw4gUN.jpg,female,Batman v Superman: Dawn of Justice. The Incredibles. Incredibles 2
Ray Romano,1957-12-21,/zWT03QvuVYySlrjmHCojKrNYjoC.jpg,male,Ice Age. Ice Age: The Meltdown. Ice Age: Continental Drift
Gene Tierney,1920-11-19,/vaIZ0zvgf9yru5etvxlDwkcpUdf.jpg,female,Laura. The Ghost and Mrs. Muir. Night and the City
Dana Andrews,1909-01-01,/shBCkOYpoJuzwTmJMaP9ZqD8YPf.jpg,male,Laura. The Best Years of Our Lives
Clifton Webb,1889-11-19,/12hInQbYKyfkOCBdn5xG8w1duvs.jpg,male,Laura. Titanic. Cheaper by the Dozen
Vincent Price,1911-05-27,/1B5qC9TdVc20e6pA5zpFsuoCXUg.jpg,male,Edward Scissorhands. The Great Mouse Detective. The Ten Commandments. Limbo
Amy Adams,1974-08-20,/1h2r2VTpoFb5QefAaBYYQgQzL9z.jpg,female,Batman v Superman: Dawn of Justice. Arrival. Man of Steel. Terror Of The Killer Carnivorous Coat. Terror Of The Killer Carnivorous Coat
Jeremy Renner,1971-01-07,/g8gheNEdPSXWH5SnjfjTYWj5ziU.jpg,male,The Avengers. Captain America: Civil War. Avengers: Age of Ultron
Forest Whitaker,1961-07-15,/4pMQkelS5lK661m9Kz3oIxLYiyS.jpg,male,Black Panther. Arrival. Rogue One: A Star Wars Story
Michael Stuhlbarg,1968-07-05,/seBk12MUK51aUoYX4OW1itfOpJ6.jpg,male,Doctor Strange. Arrival. Men in Black 3
Anthony Perkins,1932-04-04,/lRwJZy8lTKEXpTOlHkyqIQpeyMJ.jpg,male,Psycho. Murder on the Orient Express. Psycho II
Vera Miles,1929-08-23,/qWP9L969DOSFgBhRV2Ik2ve8Z4r.jpg,female,Psycho. The Searchers. The Man Who Shot Liberty Valance
John Gavin,1931-04-08,/mMpkW6q6KVyzsRAkc2AObFQ5lEx.jpg,male,Psycho. Spartacus. Imitation of Life
Janet Leigh,1927-07-06,/3FWYSCJUOuYVDPG9UoMjtqNMdyb.jpg,female,Psycho. Touch of Evil. Halloween H20: 20 Years Later
Ellar Coltrane,1994-08-27,/wJvJrUlWFrwGSbij5mB3KlpdqXQ.jpg,male,Boyhood. The Circle
Patricia Arquette,1968-04-08,/2ZIZ2xIdWKZNKRcdIe60AH25c82.jpg,female,Boyhood. True Romance. Ed Wood
Elijah Smith, ,/aeS0tlMONY5XPJiMeBnv33oQjk2.jpg,male,Boyhood
Lorelei Linklater,1994-05-29,/tW89lIMvdP3EwtyoaOlFcn7y3YA.jpg,female,Boyhood. Waking Life. Bomb City
The Beatles, , ,male,Lost and Found
John Lennon,1940-10-09,/oVQZxiY6RTuICdkVN6nF8XJYJVe.jpg,male,A Hard Day's Night. Yellow Submarine. The Beatles: Eight Days a Week - The Touring Years
Paul McCartney,1942-06-18,/v7FagbD9EY4MVUtcrk9ESjPWV7q.jpg,male,Pirates of the Caribbean: Dead Men Tell No Tales. A Hard Day's Night
George Harrison, , ,male,Life of Brian. A Hard Day's Night. Sugartown
Hugh Jackman,1968-10-12,/aLvTYCe8Ar3jvqNiWLdHEJFyA32.jpg,male,Logan. X-Men: Days of Future Past. X-Men: First Class
Patrick Stewart,1940-07-13,/wEy5qSDT5jT3ZASc2hbwi59voPL.jpg,male,Logan. X-Men: Days of Future Past. Ted. The Making of Dr. Seuss' 'How the Grinch Stole Christmas!'
Dafne Keen,2005-07-19,/vohccdHmJHNZX9UIcRlmZ4Qwkj.jpg,female,Logan. Untitled X-23 Film
Boyd Holbrook,1981-09-01,/531YOKa2usleWCA55t6Db4MZhT3.jpg,male,Logan. Gone Girl. The Host
Mary Astor,1906-05-03,/w1KLRK5J5SRXkqONL9WS8exhKgp.jpg,female,The Maltese Falcon. Meet Me in St. Louis. Hush... Hush, Sweet Charlotte
Gladys George,1900-09-13,/2qzMYzWB90Z46NroCq82IYmrAig.jpg,female,The Maltese Falcon. The Best Years of Our Lives. The Roaring Twenties
Peter Lorre,1904-06-26,/6V1Jd8qN0PV76xJce7cJsqkQ55R.jpg,male,Casablanca. M. The Maltese Falcon
Sandra Bullock,1964-07-26,/bsAy8f8UZKairXQzRukU5FP4XAQ.jpg,female,Gravity. Minions. The Proposal
George Clooney,1961-05-06,/z4SBfpKDThuQY0FsvDbajcooBdA.jpg,male,Gravity. Ocean's Eleven. Tomorrowland
Ed Harris,1950-11-28,/atzm7ZGRFSWJHQT6qKmzjmNQ9GA.jpg,male,Gravity. The Truman Show. A Beautiful Mind
Orto Ignatiussen, ,/cIpItbFg6AqAVdAYDgFMlwZlf9p.jpg,male,Gravity. Aningaaq. Ikingut
J.J. Abrams,1966-06-27,/uiEVOx3QclxnN76t8PU6v5IcUUP.jpg,male,Star Wars: The Force Awakens. Star Trek. Star Trek Into Darkness
John Boyega,1992-03-17,/3153CfpgZQXTzCY0i74WpJumMQe.jpg,male,Star Wars: The Force Awakens. Star Wars: The Last Jedi. The Circle
Chris Clarke, , ,male,Solo: A Star Wars Story. Animal Farm. Edge of Tomorrow. Quantum of Solace. Robin Hood. The Dark. All Eyez on Me. Obvious Child. Home Movie
Adam Driver,1983-11-19,/rsjwgpV2OukxOJ9HEiEyf4qu1vR.jpg,male,Star Wars: The Force Awakens. Star Wars: The Last Jedi. Lincoln
Naomi Watts,1968-09-28,/8W02WOJI1pEGh2iqQsgITR5tV0P.jpg,female,Birdman. Insurgent. King Kong
Jack Black,1969-08-28,/vMXgtzMdt2jSAjOECFQ5F53blbr.jpg,male,Ice Age. Jumanji: Welcome to the Jungle. Kung Fu Panda
Adrien Brody,1973-04-14,/zvMslH1C8xmEBpGgDsdzL797Rv.jpg,male,The Grand Budapest Hotel. King Kong. Midnight in Paris
Thomas Kretschmann,1962-09-08,/sAGn557s6oJ74SycAV2DPb26Vqn.jpg,male,Avengers: Age of Ultron. Captain America: The Winter Soldier. King Kong
Roy Atwell,1878-05-02,/gHiJd6CHJyQJjL0xdnq1B0sOlVE.jpg,male,Snow White and the Seven Dwarfs. Souls for Sale. Bridal Suite
Stuart Buchanan, ,/dR6rMMbeq8m23ZhlLnOf7mke29x.jpg,male,Snow White and the Seven Dwarfs
Adriana Caselotti,1916-05-16,/spSFVZoDpFhkSeyEMTTJj8ZSNKs.jpg,female,Snow White and the Seven Dwarfs. It's a Wonderful Life. The Bride Wore Red
Eddie Collins,1883-01-30,/2w9TksbexmXMk6yVgIyqv8WuNRk.jpg,male,Snow White and the Seven Dwarfs. Young Mr. Lincoln. Drums Along the Mohawk. Braveheart. Amos & Andrew. The Sign of Four
Chiwetel Ejiofor,1977-07-10,/kq5DDnqqofoRI0t6ddtRlsJnNPT.jpg,male,The Martian. Doctor Strange. 2012
Dwight Henry, ,/fJZw6IV6j0qKuNRfhYmh1f3PhpT.jpg,male,12 Years a Slave. Beasts of the Southern Wild. The Birth of a Nation
Dickie Gravois, , ,male,12 Years a Slave
Bryan Batt,1963-03-01,/Aw9vEE9CGPYlUrwubVED3fpgjkB.jpg,male,12 Years a Slave. Funny People
Ben Affleck,1972-08-15,/rjGdI8f7MyGXg4kpTrA0ZZq1QX8.jpg,male,Suicide Squad. Batman v Superman: Dawn of Justice. Gone Girl
Bryan Cranston,1956-03-07,/9dvZ0Id5RtnCGianoayNJBFrNVU.jpg,male,Saving Private Ryan. Drive. Argo
Alan Arkin,1934-03-26,/gcrKO2z0YVUXBXVeB9V8PndG0IJ.jpg,male,Edward Scissorhands. Argo. Little Miss Sunshine
John Goodman,1952-06-20,/eOIx8zj1vYIRhVY2bK5cjIQfua0.jpg,male,Monsters, Inc.. Cars. Monsters University
Catherine Deneuve,1943-10-22,/67p8isY7KaJaG2FsEe4fowadnqR.jpg,female,Persepolis. Dancer in the Dark. The Brand New Testament
Ian Hendry,1931-01-13,/yncW9U3Q2Pvzc1fNoCfbWdkVrgE.jpg,male,Repulsion. Damien: Omen II. Get Carter. Who Gets In?
John Fraser,1931-03-18,/lGTs2ME2t7Xq8AqC1qtI3Ow9Nr4.jpg,male,Repulsion. El Cid. Freddy vs. Jason
Yvonne Furneaux,1928-05-11,/azdNJ9qXwpKrdCohPXWu1xC4ts9.jpg,female,La Dolce Vita. Repulsion. The Mummy
Errol Flynn,1909-06-20,/2fd8ZORZMGFJQqMcnoNgSnTOpPS.jpg,male,The Adventures of Robin Hood. The Lady from Shanghai. Captain Blood
Olivia de Havilland,1916-07-01,/rnMSdk6OZvRdimYbFHjiaYOtIlt.jpg,female,Gone with the Wind. The Adventures of Robin Hood. Airport '77
Basil Rathbone,1892-06-13,/vHdw4YuybYJqISjZoLQtC2Hm3L0.jpg,male,The Great Mouse Detective. The Adventures of Robin Hood. The Adventures of Ichabod and Mr. Toad
Casey Affleck,1975-08-12,/kPNMpiZHsAzeQar4DiNsrekwHBU.jpg,male,Interstellar. Ocean's Eleven. Good Will Hunting
Ben O’Brien,1977-02-19, ,male,Star Wars: The Force Awakens. Iron Man 2. Thor: Ragnarok
Kyle Chandler,1965-09-17,/1un1X4SxxcSVUYEgQ0HXPPRhKcv.jpg,male,The Wolf of Wall Street. Argo. King Kong
Richard Donelly, , ,male,Manchester by the Sea. Black Mass. The Polka King
Cary Grant,1904-01-18,/psdytm6BKzKd4vEd5TLUdm3rOmc.jpg,male,North by Northwest. Notorious. Charade
Eva Marie Saint,1924-07-04,/9DpClOXbxSAsZiwsCnwIPA212pQ.jpg,female,Superman Returns. North by Northwest. Winter's Tale
James Mason,1909-05-15,/b0ebmboBdaYvk8fn2CFCQl4TaW9.jpg,male,North by Northwest. Lolita. 20,000 Leagues Under the Sea. Dark Night of the Pumpkinman 2. When Wrestling Was Golden: Grapples, Grunts and Grannies
Jessie Royce Landis,1904-11-25,/o7NngdQPrvEfN3m3UVcjVPwC3Co.jpg,female,North by Northwest. To Catch a Thief
William Holden,1918-04-17,/6sa5f8p1KBhYxJDEmCLxn7QLcBe.jpg,male,Sunset Boulevard. The Bridge on the River Kwai. Network. The Trespasser. Not So Dumb. Three Faces East. The Love Club. Sioux Rapids. Fame in California
Gloria Swanson,1899-03-27,/g9gVXDnY6gNoqe9H3zJlpFqVS7h.jpg,female,Sunset Boulevard. Airport 1975
Erich von Stroheim,1885-09-22,/v0DY16kMSMAqIdI3yYSRGYiz37c.jpg,male,Sunset Boulevard. Grand Illusion. Intolerance: Love's Struggle Throughout the Ages
Nancy Olson,1928-07-14,/hon9m9nniX5pJ6hqKLeeHCgigoX.jpg,female,Flubber. Sunset Boulevard. Airport 1975
James Stewart,1908-05-20,/d3wCljbO6DMbeUSwjhiCuoivUpL.jpg,male,Rear Window. Vertigo. It's a Wonderful Life. R.I.P.D.. Terrafirma. Kickstart 3 Whiskey Throttle. Kickstart. Voodoo Lagoon. She Lives by Night
Grace Kelly,1929-11-12,/2dNjXRNbhOmovybmr5iCdAhqdwl.jpg,female,Rear Window. Dial M for Murder. High Noon. The Bird Who Could Fly
Wendell Corey,1914-03-20,/uQ7NEKJjC6Wj00V2CoYMbCvRcSn.jpg,male,Rear Window. Sorry, Wrong Number
Thelma Ritter,1905-02-14,/oMCbRKA165vBWOCskSXNKDplQf9.jpg,female,Rear Window. All About Eve. Miracle on 34th Street
Nanda Primavera, ,/7IgkGlkLY8W73LkfXpee9P2bulv.jpg,male,Il medico della mutua. Il prof. Dott. Guido Tersilli, primario della clinica Villa Celeste convenzionata con le mutue. Complexes
Tom Skerritt,1933-08-25,/m4KNYlzzV5PCpOqBU5x9ydab0aR.jpg,male,Ted. Alien. Top Gun
Sigourney Weaver,1949-10-08,/gxBIAr3CnBjkNRoPovVJCvEGqP0.jpg,female,Avatar. WALL·E. Finding Dory
Veronica Cartwright,1949-04-20,/8s31kdotRrghkH4DkxpRZCmELYd.jpg,female,Alien. Scary Movie 2. The Birds
Harry Dean Stanton,1926-07-14,/nDSav6v9Z8dSJSXoooT2g0LjbCd.jpg,male,The Avengers. The Green Mile. Alien
Ansel Elgort,1994-03-14,/88qIOwM4Ztjvr1zaEB81Ee8h6Y0.jpg,male,Divergent. Baby Driver. The Fault in Our Stars
Jon Bernthal,1977-09-20,/w3epqN0BlV4TiUV9255d5tSCIRV.jpg,male,The Wolf of Wall Street. Baby Driver. Fury
Jon Hamm,1971-03-10,/wb14AA6u8dqA0XNweRIeKXatzzc.jpg,male,Minions. Baby Driver. Shrek Forever After
Eiza González,1990-01-30,/7e7YLQRWEh6amQAwPU5HKDY0TV9.jpg,female,Baby Driver. Jem and the Holograms
Katharine Hepburn,1907-05-12,/hzBSOe6bburyMeeCqD9kR9tRfdD.jpg,female,The African Queen. Bringing Up Baby. The Philadelphia Story
Ruth Hussey,1911-10-30,/ms3vsuqzSVfH9106A0OorpCk5oA.jpg,female,The Philadelphia Story. The Uninvited
Tom Hanks,1956-07-09,/xxPMucou2wRDxLrud8i2D4dsywh.jpg,male,Forrest Gump. Toy Story. Saving Private Ryan
Tim Allen,1953-06-13,/dDbtWMGdhatUjCIYolc312R2ygu.jpg,male,Toy Story. Toy Story 3. Toy Story 2. The Lion King. Beauty and the Beast. Corpse Bride. So Shall You Reap. PROXiMITY. See No Evil
Joan Cusack,1962-10-11,/3jcrXcFYoSKEUvokzqrQ2UJGtw.jpg,female,Toy Story 3. Toy Story 2. The Perks of Being a Wallflower
Kelsey Grammer,1955-02-21,/8h3ThicYhj6fEMSMtSdzFXrUyx2.jpg,male,X-Men: Days of Future Past. Toy Story 2. X-Men: The Last Stand
Ryan Gosling,1980-11-12,/5rOcicCrTCWye0O2S3dnbnWaCr1.jpg,male,La La Land. Drive. Blade Runner 2049
Emma Stone,1988-11-06,/6n3aRnB1tM7Bx42RGejqhNiSaAA.jpg,female,The Amazing Spider-Man. La La Land. Birdman. White Angel
Amiée Conn, ,/wAcmKIkZOfuS3gKnUTUW9Epu6Yy.jpg,male,La La Land. Not Fade Away
Terry Walters, ,/8zpqrZDAfJS0TrfTzc8LuoCteto.jpg,female,La La Land. Beginners. Crimes and Misdemeanors. Knifepoint
Diahnne Abbott,1945-05-01,/bstWqig7aE762V7Bv7dMdH8CbzW.jpg,female,Taxi Driver. The King of Comedy. Love Streams
Frank Adu, , ,male,Taxi Driver. Love and Death. C.H.U.D.
Victor Argo,1934-11-05,/kYwuOpT59qqJnssl9R4226yHSAG.jpg,male,Taxi Driver. True Romance. Mean Streets
Gino Ardito, , ,male,Taxi Driver. Alex And The Gypsy
Charlton Heston,1923-10-04,/pXwJV9JlOCKOHSfEJdt2q61SZVq.jpg,male,Armageddon. Hercules. Planet of the Apes
Joseph Calleia,1897-08-04,/xyb6l5Epo5NXbKUXD7puhLoYca2.jpg,male,Touch of Evil. Gilda. The Alamo
Ginnifer Goodwin,1978-05-22,/vAH6j1A0L88R4UD9QX1nM9OLoYw.jpg,female,Zootopia. He's Just Not That Into You. Walk the Line
Jason Bateman,1969-01-14,/yNhKtdcXy2Dah6WwDGyqlmC4NbC.jpg,male,Zootopia. Hancock. Juno
Idris Elba,1972-09-06,/be1bVF7qGX91a6c5WeRPs5pKXln.jpg,male,Avengers: Age of Ultron. Thor. Avengers: Infinity War
Jenny Slate,1982-03-25,/aqH8MCnT3O5Od3OfZR8LClSP7UB.jpg,female,Zootopia. The Secret Life of Pets. Despicable Me 3
Ed Asner,1929-11-15,/nUnDLli9zmGQu6UCEU3G4FUdYqQ.jpg,male,Up. Elf
Christopher Plummer,1929-12-13,/fauMGxa6dc86nHNenQ8X6DlE6YV.jpg,male,Up. A Beautiful Mind. Twelve Monkeys. Shockwave Darkside
Jordan Nagai,2000-02-05,/8UjtI2fYUTXFzqEGc7rDAgFiAm7.jpg,male,Up. Dug's Special Mission
Bob Peterson,1961-01-18,/13YNM8lBKnK26MYd2Lp3OpU6JdI.jpg,male,Up. Finding Nemo. Monsters, Inc.
Ellen Widmann,1894-12-15,/17R5Kg8rrisggUoP7WJX8b837h0.jpg,male,M. Anne Bäbi Jowäger -  Teil 1: Wie Jakobli zu einer Frau kommt. Anne Bäbi Jowäger -  Teil 2: Jakobli und Meyeli
Inge Landgut,1922-11-23,/1iRmBwOJ9ISS3SU3SsSWfn2jThj.jpg,female,M. Emil and the Detectives. Schneeweißchen und Rosenrot
Otto Wernicke,1893-09-30,/tnfFLMa0TA4JO2ME615I3PJ7Myl.jpg,male,M. The Testament of Dr. Mabuse. Titanic
Tom Holland,1996-06-01,/kC88TIMh9z73pImu5HpPG6ttuDv.jpg,male,Captain America: Civil War. Spider-Man: Homecoming. Avengers: Infinity War. The Judge. Mexican Boarders. Cannery Woe. Child's Play. Fright Night. Islam: The Untold Story. Dinosaurs, Myths and Monsters
Robert Downey Jr.,1965-04-04,/1YjdSym1jTG7xjHSI0yGGWEsw5i.jpg,male,The Avengers. Iron Man. Iron Man 3
Marisa Tomei,1964-12-04,/l87UKhZ1ethWmn8lksmLZ2LcQJ1.jpg,female,Captain America: Civil War. Spider-Man: Homecoming. The Big Short
Louis Wolheim,1880-03-28,/j74Kja2i4V2mhuPFFWOQQZteI4a.jpg,male,All Quiet on the Western Front. Dr. Jekyll and Mr. Hyde. Orphans of the Storm
Lew Ayres,1908-12-28,/8Z3YPfpxj5dR9jR5GGXWaoGmjAu.jpg,male,Battle for the Planet of the Apes. All Quiet on the Western Front. Damien: Omen II
John Wray,1887-02-13,/le1ogQo0KraHo2ihAOlSHGJ4Exi.jpg,male,Gone with the Wind. All Quiet on the Western Front. Mr. Deeds Goes to Town. Wonder Man
